Process_ID,User_Name,Priority,Nice_Value,Virtual_Memory_Size,Resident_Memory_size,Shared_Memory_Size,Process_Status,CPU_Usage,Memory_Usage,CPU_Time,Command_Name
59132,isme,20,0,37420,24952,8816,R,93.3,0.3,0:00.14,poetry
59132,isme,20,0,52060,36764,10048,R,100.0,0.5,0:00.29,poetry
59132,isme,20,0,34532,23276,9628,R,86.7,0.3,0:00.42,python
59132,isme,20,0,1594000,34808,11096,S,73.3,0.4,0:00.53,python
59132,isme,20,0,1594000,34808,11096,S,0.0,0.4,0:00.53,python
59132,isme,20,0,1594000,34808,11096,S,0.0,0.4,0:00.53,python
59132,isme,20,0,1594000,39752,11352,S,166.7,0.5,0:00.78,python
59132,isme,20,0,1594000,50284,11352,S,113.3,0.6,0:00.96,python
59132,isme,20,0,1594000,50284,11352,S,26.7,0.6,0:01.00,python
59132,isme,20,0,1594000,50284,11352,S,93.3,0.6,0:01.14,python
59132,isme,20,0,1594000,50872,11416,S,293.3,0.6,0:01.61,python
59132,isme,20,0,1594000,50872,11416,S,33.3,0.6,0:01.66,python
59132,isme,20,0,1594512,51712,11468,S,113.3,0.7,0:01.83,python
59132,isme,20,0,1595280,51976,11468,S,113.3,0.7,0:02.01,python
59132,isme,20,0,1597584,54880,11468,S,106.7,0.7,0:02.18,python
59132,isme,20,0,1598608,55936,11468,S,80.0,0.7,0:02.30,python
59132,isme,20,0,1599120,56200,11468,S,120.0,0.7,0:02.49,python
59132,isme,20,0,1600912,57784,11468,S,113.3,0.7,0:02.66,python
59132,isme,20,0,1602704,60424,11468,S,93.3,0.8,0:02.80,python
59132,isme,20,0,1603216,60952,11468,S,100.0,0.8,0:02.95,python
59132,isme,20,0,1477252,68260,11648,S,106.7,0.9,0:03.12,python
59132,isme,20,0,1477648,68524,11648,S,6.7,0.9,0:03.13,python
59132,isme,20,0,1477648,68524,11648,S,6.7,0.9,0:03.14,python
59132,isme,20,0,1477648,68524,11648,S,0.0,0.9,0:03.14,python
59132,isme,20,0,1477648,68524,11648,S,0.0,0.9,0:03.14,python
59132,isme,20,0,1477648,68524,11648,S,0.0,0.9,0:03.14,python
59132,isme,20,0,1479032,69844,11648,R,13.3,0.9,0:03.16,python
59132,isme,20,0,1481580,72444,11648,S,37.5,0.9,0:03.23,python
59132,isme,20,0,1481844,72704,11648,S,12.5,0.9,0:03.25,python
59132,isme,20,0,1481844,72704,11648,S,0.0,0.9,0:03.25,python
59132,isme,20,0,1484752,75796,11648,S,26.7,1.0,0:03.29,python
59132,isme,20,0,1485016,76060,11648,S,13.3,1.0,0:03.31,python
59132,isme,20,0,1485152,76060,11648,S,0.0,1.0,0:03.31,python
59132,isme,20,0,1485152,76060,11648,R,6.7,1.0,0:03.32,python
59132,isme,20,0,1489260,80316,11648,S,40.0,1.0,0:03.38,python
59132,isme,20,0,1489260,80316,11648,S,0.0,1.0,0:03.38,python
59132,isme,20,0,1489260,80316,11648,S,0.0,1.0,0:03.38,python
59132,isme,20,0,1493460,84344,11648,S,40.0,1.1,0:03.44,python
59132,isme,20,0,1493856,84608,11648,S,20.0,1.1,0:03.47,python
59132,isme,20,0,1493856,84608,11648,S,0.0,1.1,0:03.47,python
59132,isme,20,0,1497684,88656,11648,S,46.7,1.1,0:03.54,python
59132,isme,20,0,1497948,88920,11648,S,13.3,1.1,0:03.56,python
59132,isme,20,0,1498080,88920,11648,S,0.0,1.1,0:03.56,python
59132,isme,20,0,1498080,88920,11648,S,0.0,1.1,0:03.56,python
59132,isme,20,0,1498080,88920,11648,S,0.0,1.1,0:03.56,python
59132,isme,20,0,1498080,88920,11648,S,0.0,1.1,0:03.56,python
59132,isme,20,0,1503284,93144,11648,R,13.3,1.2,0:03.58,python
59132,isme,20,0,1502444,93396,11648,S,18.8,1.2,0:03.61,python
59132,isme,20,0,1502576,93396,11648,S,0.0,1.2,0:03.61,python
59132,isme,20,0,1502576,93396,11648,S,0.0,1.2,0:03.62,python
59132,isme,20,0,1506400,97444,11648,S,40.0,1.2,0:03.68,python
59132,isme,20,0,1506796,97708,11648,S,13.3,1.2,0:03.70,python
59132,isme,20,0,1506796,97708,11648,S,0.0,1.2,0:03.70,python
