Process_ID,User_Name,Priority,Nice_Value,Virtual_Memory_Size,Resident_Memory_Size,Shared_Memory_Size,Process_Status,CPU_Usage,Memory_Usage,CPU_Time,Command_Name
99247,isme,20,0,38064,25436,8916,R,100.0,0.3,0:00.15,poetry
99247,isme,20,0,52964,37520,10072,R,87.5,0.5,0:00.29,poetry
99247,isme,20,0,39560,26984,9352,R,86.7,0.3,0:00.42,python
99247,isme,20,0,1595848,36588,10468,S,53.3,0.5,0:00.51,python
99247,isme,20,0,1595848,37024,10724,S,0.0,0.5,0:00.51,python
99247,isme,20,0,1596104,37136,10724,S,6.7,0.5,0:00.52,python
99247,isme,20,0,1596104,43396,10724,S,126.7,0.5,0:00.71,python
99247,isme,20,0,1596104,52108,10724,S,133.3,0.7,0:00.92,python
99247,isme,20,0,1596104,52108,10724,S,12.5,0.7,0:00.94,python
99247,isme,20,0,1596104,52108,10724,S,62.5,0.7,0:01.04,python
99247,isme,20,0,1596104,52768,10820,S,253.3,0.7,0:01.44,python
99247,isme,20,0,1596104,52768,10820,S,33.3,0.7,0:01.49,python
99247,isme,20,0,1597640,54128,10868,S,86.7,0.7,0:01.63,python
99247,isme,20,0,1599176,55952,10868,S,106.2,0.7,0:01.80,python
99247,isme,20,0,1600968,58380,10868,S,93.3,0.7,0:01.95,python
99247,isme,20,0,1602248,59752,10868,S,106.7,0.8,0:02.11,python
99247,isme,20,0,1604808,63148,10868,S,113.3,0.8,0:02.28,python
99247,isme,20,0,1605064,63148,10868,S,86.7,0.8,0:02.41,python
99247,isme,20,0,1607368,64716,10868,S,113.3,0.8,0:02.59,python
99247,isme,20,0,1607880,65112,10868,S,93.8,0.8,0:02.74,python
99247,isme,20,0,1609160,66292,10868,S,106.7,0.8,0:02.91,python
99247,isme,20,0,1610696,67664,10868,S,106.7,0.9,0:03.08,python
99247,isme,20,0,1612232,69728,10868,S,113.3,0.9,0:03.25,python
99247,isme,20,0,1614024,71808,10868,S,126.7,0.9,0:03.44,python
99247,isme,20,0,1614280,72464,10868,S,93.3,0.9,0:03.58,python
99247,isme,20,0,1614280,72728,10868,S,66.7,0.9,0:03.68,python
99247,isme,20,0,1614536,73176,10868,S,26.7,0.9,0:03.73,python
99247,isme,20,0,1614536,73968,10868,S,53.3,0.9,0:03.81,python
99247,isme,20,0,1614536,73968,10868,S,20.0,0.9,0:03.87,python
99247,isme,20,0,1614536,74232,10868,S,100.0,0.9,0:04.02,python
99247,isme,20,0,1614536,74496,10868,S,66.7,0.9,0:04.13,python
99247,isme,20,0,1615048,74752,10868,S,86.7,0.9,0:04.27,python
99247,isme,20,0,1616584,76188,10868,S,106.7,1.0,0:04.43,python
99247,isme,20,0,1616840,76188,10868,S,86.7,1.0,0:04.56,python
99247,isme,20,0,1617352,76864,10868,S,93.3,1.0,0:04.70,python
99247,isme,20,0,1619656,79400,10868,S,100.0,1.0,0:04.85,python
99247,isme,20,0,1619912,79680,10868,S,133.3,1.0,0:05.05,python
99247,isme,20,0,1621192,81064,10868,S,60.0,1.0,0:05.14,python
99247,isme,20,0,1621192,81328,10868,S,73.3,1.0,0:05.25,python
99247,isme,20,0,1621192,81592,10868,S,40.0,1.0,0:05.31,python
99247,isme,20,0,1621192,81592,10868,S,56.2,1.0,0:05.40,python
99247,isme,20,0,1621192,81856,10868,S,80.0,1.0,0:05.52,python
99247,isme,20,0,1621448,82120,10868,S,93.3,1.0,0:05.68,python
99247,isme,20,0,1621704,82384,10868,S,73.3,1.0,0:05.80,python
99247,isme,20,0,1622472,83152,10868,S,93.3,1.1,0:05.94,python
99247,isme,20,0,1623496,83936,10868,S,106.7,1.1,0:06.10,python
99247,isme,20,0,1624520,85268,10868,S,80.0,1.1,0:06.23,python
99247,isme,20,0,1625032,85672,10868,S,106.7,1.1,0:06.41,python
99247,isme,20,0,1626056,86848,10868,S,106.7,1.1,0:06.59,python
99247,isme,20,0,1626056,86848,10868,S,100.0,1.1,0:06.76,python
99247,isme,20,0,1627336,87956,10868,S,73.3,1.1,0:06.88,python
99247,isme,20,0,1627336,87956,10868,S,33.3,1.1,0:06.94,python
99247,isme,20,0,1627336,87956,10868,S,6.7,1.1,0:06.96,python
99247,isme,20,0,1627336,87956,10868,S,26.7,1.1,0:07.00,python
99247,isme,20,0,1627848,88476,10868,S,43.8,1.1,0:07.08,python
99247,isme,20,0,1628360,89004,10868,S,106.7,1.1,0:07.25,python
99247,isme,20,0,1629128,89636,10868,S,100.0,1.1,0:07.40,python
99247,isme,20,0,1630152,90544,10868,S,106.7,1.1,0:07.57,python
99247,isme,20,0,1630664,91336,10868,S,93.3,1.2,0:07.71,python
99247,isme,20,0,1631176,92384,10868,S,100.0,1.2,0:07.86,python
99247,isme,20,0,1631944,92956,10868,S,113.3,1.2,0:08.04,python
99247,isme,20,0,1633992,95056,10868,S,80.0,1.2,0:08.16,python
99247,isme,20,0,1634760,95872,10868,S,106.7,1.2,0:08.33,python
99247,isme,20,0,1636040,97132,10868,S,113.3,1.2,0:08.51,python
99247,isme,20,0,1636040,97132,10868,S,106.7,1.2,0:08.67,python
99247,isme,20,0,1636040,97132,10868,S,100.0,1.2,0:08.82,python
99247,isme,20,0,1636040,97132,10868,S,113.3,1.2,0:08.99,python
99247,isme,20,0,1636296,97220,10868,S,53.3,1.2,0:09.08,python
99247,isme,20,0,1636808,98272,10868,S,73.3,1.2,0:09.19,python
99247,isme,20,0,1637832,99056,10868,S,93.3,1.3,0:09.36,python
99247,isme,20,0,1637832,99056,10868,S,40.0,1.3,0:09.43,python
99247,isme,20,0,1637832,99056,10868,S,33.3,1.3,0:09.48,python
99247,isme,20,0,1638344,99768,10868,S,73.3,1.3,0:09.59,python
99247,isme,20,0,1639112,100292,10868,S,113.3,1.3,0:09.77,python
99247,isme,20,0,1640392,102172,10868,S,100.0,1.3,0:09.92,python
99247,isme,20,0,1640904,102700,10868,S,80.0,1.3,0:10.05,python
99247,isme,20,0,1641416,102736,10868,S,60.0,1.3,0:10.15,python
99247,isme,20,0,1642696,104580,10868,S,86.7,1.3,0:10.29,python
99247,isme,20,0,1643720,105368,10868,S,66.7,1.3,0:10.41,python
99247,isme,20,0,1643976,105896,10868,S,113.3,1.3,0:10.59,python
99247,isme,20,0,1645768,107732,10868,S,106.7,1.4,0:10.76,python
99247,isme,20,0,1645768,107732,10868,S,86.7,1.4,0:10.90,python
99247,isme,20,0,1645768,107732,10868,S,60.0,1.4,0:10.99,python
99247,isme,20,0,1645768,107996,10868,S,46.7,1.4,0:11.07,python
99247,isme,20,0,1645768,107996,10868,S,6.7,1.4,0:11.08,python
99247,isme,20,0,1645768,107996,10868,S,80.0,1.4,0:11.21,python
99247,isme,20,0,1645768,107996,10868,S,86.7,1.4,0:11.35,python
99247,isme,20,0,1646280,108520,10868,S,50.0,1.4,0:11.44,python
99247,isme,20,0,1646792,109044,10868,S,81.2,1.4,0:11.58,python
99247,isme,20,0,1647560,110360,10868,S,100.0,1.4,0:11.75,python
99247,isme,20,0,1648584,110840,10868,S,113.3,1.4,0:11.93,python
99247,isme,20,0,1650120,112388,10868,S,93.3,1.4,0:12.07,python
99247,isme,20,0,1651400,113716,10868,S,73.3,1.4,0:12.19,python
99247,isme,20,0,1651400,113716,10868,S,0.0,1.4,0:12.19,python
99247,isme,20,0,1651400,113716,10868,S,6.7,1.4,0:12.20,python
99247,isme,20,0,1651656,113716,10868,S,20.0,1.4,0:12.23,python
99247,isme,20,0,1651656,113716,10868,S,0.0,1.4,0:12.23,python
99247,isme,20,0,1651656,113716,10868,S,0.0,1.4,0:12.23,python
99247,isme,20,0,1651656,113716,10868,S,0.0,1.4,0:12.23,python
99247,isme,20,0,1651656,113716,10868,S,0.0,1.4,0:12.23,python
99247,isme,20,0,1651656,113716,10868,S,0.0,1.4,0:12.23,python
99247,isme,20,0,1651656,113716,10868,S,6.7,1.4,0:12.24,python
99247,isme,20,0,1651656,113716,10868,S,13.3,1.4,0:12.26,python
99247,isme,20,0,1651912,113980,10868,S,0.0,1.4,0:12.27,python
99247,isme,20,0,1651912,113980,10868,S,6.7,1.4,0:12.28,python
99247,isme,20,0,1651912,113980,10868,S,0.0,1.4,0:12.28,python
99247,isme,20,0,1583884,132696,11376,S,113.3,1.7,0:12.45,python
99247,isme,20,0,1679152,157088,11376,S,120.0,2.0,0:12.63,python
99247,isme,20,0,1694260,164496,11376,S,220.0,2.1,0:12.96,python
99247,isme,20,0,1694260,164496,11376,S,246.7,2.1,0:13.34,python
99247,isme,20,0,1700404,174524,11376,S,133.3,2.2,0:13.54,python
99247,isme,20,0,1707828,185280,11376,S,120.0,2.3,0:13.72,python
99247,isme,20,0,1728820,219896,11376,S,140.0,2.8,0:13.93,python
99247,isme,20,0,1734452,228600,11376,S,200.0,2.9,0:14.23,python
99247,isme,20,0,1734452,228600,11376,S,246.7,2.9,0:14.61,python
99247,isme,20,0,1735476,230352,11376,S,193.3,2.9,0:14.90,python
99247,isme,20,0,1735476,230352,11376,S,260.0,2.9,0:15.29,python
99247,isme,20,0,1735476,230616,11376,S,80.0,2.9,0:15.59,python
